# 2024/03/09 - 07:21 | PDB: 10.24 | UniProt: 2024.02
PDB,CHAIN,ACCESSION,EC_NUMBER
101m,A,P02185,?
102l,A,P00720,3.2.1.17
102m,A,P02185,?
103l,A,P00720,3.2.1.17
103m,A,P02185,?
104l,A,P00720,3.2.1.17
104l,B,P00720,3.2.1.17
104m,A,P02185,?
105m,A,P02185,?
106m,A,P02185,?
107l,A,P00720,3.2.1.17
107m,A,P02185,?
108l,A,P00720,3.2.1.17
108m,A,P02185,?
109l,A,P00720,3.2.1.17
109m,A,P02185,?
10gs,A,P09211,2.5.1.18
10gs,B,P09211,2.5.1.18
10mh,A,P05102,2.1.1.37
110l,A,P00720,3.2.1.17
110m,A,P02185,?
111l,A,P00720,3.2.1.17
111m,A,P02185,?
112l,A,P00720,3.2.1.17
112m,A,P02185,?
113l,A,P00720,3.2.1.17
114l,A,P00720,3.2.1.17
115l,A,P00720,3.2.1.17
117e,A,P00817,3.6.1.1
117e,B,P00817,3.6.1.1
118l,A,P00720,3.2.1.17
119l,A,P00720,3.2.1.17
11as,A,P00963,6.3.1.1
11as,B,P00963,6.3.1.1
11ba,A,P00669,4.6.1.18
11ba,B,P00669,4.6.1.18
11bg,A,P00669,4.6.1.18
11bg,B,P00669,4.6.1.18
11gs,A,P09211,2.5.1.18
11gs,B,P09211,2.5.1.18
120l,A,P00720,3.2.1.17
121p,A,P01112,3.6.5.2
122l,A,P00720,3.2.1.17
123l,A,P00720,3.2.1.17
125l,A,P00720,3.2.1.17
126l,A,P00720,3.2.1.17
127l,A,P00720,3.2.1.17
128l,A,P00720,3.2.1.17
129l,A,P00720,3.2.1.17
12as,A,P00963,6.3.1.1
12as,B,P00963,6.3.1.1
12ca,A,P00918,4.2.1.1
12ca,A,P00918,4.2.1.69
12gs,A,P09211,2.5.1.18
12gs,B,P09211,2.5.1.18
130l,A,P00720,3.2.1.17
131l,A,P00720,3.2.1.17
132l,A,P00698,3.2.1.17
133l,A,P61626,3.2.1.17
134l,A,P61626,3.2.1.17
135l,A,P00703,3.2.1.17
137l,A,P00720,3.2.1.17
137l,B,P00720,3.2.1.17
138l,A,P00720,3.2.1.17
139l,A,P00720,3.2.1.17
13gs,A,P09211,2.5.1.18
13gs,B,P09211,2.5.1.18
13pk,A,P07378,2.7.2.3
13pk,B,P07378,2.7.2.3
13pk,C,P07378,2.7.2.3
13pk,D,P07378,2.7.2.3
140l,A,P00720,3.2.1.17
141l,A,P00720,3.2.1.17
142l,A,P00720,3.2.1.17
143l,A,P00720,3.2.1.17
144l,A,P00720,3.2.1.17
145l,A,P00720,3.2.1.17
146l,A,P00720,3.2.1.17
147l,A,P00720,3.2.1.17
148l,E,P00720,3.2.1.17
149l,A,P00720,3.2.1.17
14gs,A,P09211,2.5.1.18
14gs,B,P09211,2.5.1.18
150l,A,P00720,3.2.1.17
150l,B,P00720,3.2.1.17
150l,C,P00720,3.2.1.17
150l,D,P00720,3.2.1.17
151l,A,P00720,3.2.1.17
152l,A,P00720,3.2.1.17
153l,A,P00718,3.2.1.17
154l,A,P00718,3.2.1.17
155c,A,P00096,?
155l,A,P00720,3.2.1.17
156l,A,P00720,3.2.1.17
157l,A,P00720,3.2.1.17
158l,A,P00720,3.2.1.17
159l,A,P00720,3.2.1.17
15c8,H,P01869,?
15c8,L,P01837,?
160l,A,P00720,3.2.1.17
161l,A,P00720,3.2.1.17
162l,A,P00720,3.2.1.17
163l,A,P00720,3.2.1.17
164l,A,P00720,3.2.1.17
165l,A,P00720,3.2.1.17
166l,A,P00720,3.2.1.17
167l,A,P00720,3.2.1.17
167l,B,P00720,3.2.1.17
168l,A,P00720,3.2.1.17
168l,B,P00720,3.2.1.17
168l,C,P00720,3.2.1.17
168l,D,P00720,3.2.1.17
168l,E,P00720,3.2.1.17
169l,A,P00720,3.2.1.17
169l,B,P00720,3.2.1.17
169l,C,P00720,3.2.1.17
169l,D,P00720,3.2.1.17
169l,E,P00720,3.2.1.17
16gs,A,P09211,2.5.1.18
16gs,B,P09211,2.5.1.18
16pk,A,P07378,2.7.2.3
16vp,A,P06492,?
170l,A,P00720,3.2.1.17
171l,A,P00720,3.2.1.17
172l,A,P00720,3.2.1.17
173l,A,P00720,3.2.1.17
174l,A,P00720,3.2.1.17
174l,B,P00720,3.2.1.17
175l,A,P00720,3.2.1.17
175l,B,P00720,3.2.1.17
176l,A,P00720,3.2.1.17
176l,B,P00720,3.2.1.17
177l,A,P00720,3.2.1.17
178l,A,P00720,3.2.1.17
17gs,A,P09211,2.5.1.18
17gs,B,P09211,2.5.1.18
180l,A,P00720,3.2.1.17
180l,B,P00720,3.2.1.17
181l,A,P00720,3.2.1.17
182l,A,P00720,3.2.1.17
183l,A,P00720,3.2.1.17
184l,A,P00720,3.2.1.17
185l,A,P00720,3.2.1.17
186l,A,P00720,3.2.1.17
187l,A,P00720,3.2.1.17
188l,A,P00720,3.2.1.17
189l,A,P00720,3.2.1.17
18gs,A,P09211,2.5.1.18
18gs,B,P09211,2.5.1.18
190l,A,P00720,3.2.1.17
1914,A,P16254,?
191l,A,P00720,3.2.1.17
192l,A,P00720,3.2.1.17
193l,A,P00698,3.2.1.17
194l,A,P00698,3.2.1.17
195l,A,P00720,3.2.1.17
196l,A,P00720,3.2.1.17
197l,A,P00720,3.2.1.17
198l,A,P00720,3.2.1.17
199l,A,P00720,3.2.1.17
19gs,A,P09211,2.5.1.18
19gs,B,P09211,2.5.1.18
19hc,A,Q9RN68,?
19hc,B,Q9RN68,?
1a00,A,P69905,?
1a00,B,P68871,?
1a00,C,P69905,?
1a00,D,P68871,?
1a01,A,P69905,?
1a01,B,P68871,?
1a01,C,P69905,?
1a01,D,P68871,?
1a02,F,P01100,?
1a02,J,P05412,?
1a02,N,Q13469,?
1a03,A,P30801,?
1a03,B,P30801,?
1a04,A,P0AF28,?
1a04,B,P0AF28,?
1a05,A,Q56268,1.1.1.85
1a05,B,Q56268,1.1.1.85
1a06,A,Q63450,2.7.11.17
1a07,A,P12931,2.7.10.2
1a07,B,P12931,2.7.10.2
1a08,A,P12931,2.7.10.2
1a08,B,P12931,2.7.10.2
1a09,A,P12931,2.7.10.2
1a09,B,P12931,2.7.10.2
1a0a,A,P07270,?
1a0a,B,P07270,?
1a0b,A,P0AEC3,2.7.13.3
1a0c,A,P19148,5.3.1.5
1a0c,B,P19148,5.3.1.5
1a0c,C,P19148,5.3.1.5
1a0c,D,P19148,5.3.1.5
1a0d,A,P54273,5.3.1.5
1a0d,B,P54273,5.3.1.5
1a0d,C,P54273,5.3.1.5
1a0d,D,P54273,5.3.1.5
1a0e,A,P45687,5.3.1.5
1a0e,D,P45687,5.3.1.5
1a0f,A,P0A9D2,2.5.1.18
1a0f,B,P0A9D2,2.5.1.18
1a0g,A,P19938,2.6.1.21
1a0g,B,P19938,2.6.1.21
1a0h,A,P00735,3.4.21.5
1a0h,B,P00735,3.4.21.5
1a0h,D,P00735,3.4.21.5
1a0h,E,P00735,3.4.21.5
1a0i,A,P00969,6.5.1.1
1a0j,A,P35033,3.4.21.4
1a0j,B,P35033,3.4.21.4
1a0j,C,P35033,3.4.21.4
1a0j,D,P35033,3.4.21.4
1a0k,A,Q42449,?
1a0l,A,P20231,3.4.21.59
1a0l,B,P20231,3.4.21.59
1a0l,C,P20231,3.4.21.59
1a0l,D,P20231,3.4.21.59
1a0m,A,P56638,?
1a0m,B,P56638,?
1a0n,A,P27986,?
1a0n,B,P06241,2.7.10.2
1a0o,A,P0AE67,?
1a0o,B,P07363,2.7.13.3
1a0o,C,P0AE67,?
1a0o,D,P07363,2.7.13.3
1a0o,E,P0AE67,?
1a0o,F,P07363,2.7.13.3
1a0o,G,P0AE67,?
1a0o,H,P07363,2.7.13.3
1a0p,A,P0A8P8,?
1a0q,H,P01869,?
1a0q,L,P01837,?
1a0r,B,P62871,?
1a0r,G,P02698,?
1a0r,P,P19632,?
1a0s,P,P22340,?
1a0s,Q,P22340,?
1a0s,R,P22340,?
1a0t,P,P22340,?
1a0t,Q,P22340,?
1a0t,R,P22340,?
1a0u,A,P69905,?
1a0u,B,P68871,?
1a0u,C,P69905,?
1a0u,D,P68871,?
1a0z,A,P69905,?
1a0z,B,P68871,?
1a0z,C,P69905,?
1a0z,D,P68871,?
1a11,A,P25110,?
1a12,A,P18754,?
1a12,B,P18754,?
1a12,C,P18754,?
1a13,A,P01515,?
1a14,H,P01749,?
1a14,L,P01645,?
1a14,N,P03472,3.2.1.18
1a15,A,P48061,?
1a15,B,P48061,?
1a16,A,P15034,3.4.11.9
1a17,A,P53041,3.1.3.16
1a18,A,P04117,?
1a19,A,P11540,?
1a19,B,P11540,?
1a1a,A,P12931,2.7.10.2
1a1a,B,P12931,2.7.10.2
1a1b,A,P12931,2.7.10.2
1a1b,B,P12931,2.7.10.2
1a1c,A,P12931,2.7.10.2
1a1c,B,P12931,2.7.10.2
1a1d,A,P20436,2.7.7.6
1a1e,A,P12931,2.7.10.2
1a1e,B,P12931,2.7.10.2
1a1f,A,P08046,?
1a1g,A,P08046,?
1a1h,A,P08046,?
1a1i,A,P08046,?
1a1j,A,P08046,?
1a1k,A,P08046,?
1a1l,A,P08046,?
1a1m,A,P01889,?
1a1m,B,P61769,?
1a1n,A,P01889,?
1a1n,B,P61769,?
1a1o,A,P01889,?
1a1o,B,P61769,?
1a1q,A,P26663,2.7.7.48
1a1q,A,P26663,3.4.21.98
1a1q,A,P26663,3.4.22.-
1a1q,A,P26663,3.6.1.15
1a1q,A,P26663,3.6.4.13
1a1q,B,P26663,2.7.7.48
1a1q,B,P26663,3.4.21.98
1a1q,B,P26663,3.4.22.-
1a1q,B,P26663,3.6.1.15
1a1q,B,P26663,3.6.4.13
1a1q,C,P26663,2.7.7.48
1a1q,C,P26663,3.4.21.98
1a1q,C,P26663,3.4.22.-
1a1q,C,P26663,3.6.1.15
1a1q,C,P26663,3.6.4.13
1a1r,A,P27958,2.7.7.48
1a1r,A,P27958,3.4.21.98
1a1r,A,P27958,3.4.22.-
1a1r,A,P27958,3.6.1.15
1a1r,A,P27958,3.6.4.13
1a1r,B,P27958,2.7.7.48
1a1r,B,P27958,3.4.21.98
1a1r,B,P27958,3.4.22.-
1a1r,B,P27958,3.6.1.15
1a1r,B,P27958,3.6.4.13
1a1r,C,O39914,?
1a1r,D,O39914,?
1a1s,A,Q51742,2.1.3.3
1a1t,A,Q75677,?
1a1u,A,P04637,?
1a1u,C,P04637,?
1a1v,A,P27958,2.7.7.48
1a1v,A,P27958,3.4.21.98
1a1v,A,P27958,3.4.22.-
1a1v,A,P27958,3.6.1.15
1a1v,A,P27958,3.6.4.13
1a1w,A,Q13158,?
1a1x,A,P56278,?
1a1z,A,Q13158,?
1a21,A,P24055,?
1a21,B,P24055,?
1a22,A,P01241,?
1a22,B,P10912,?
1a23,A,P0AEG4,?
1a24,A,P0AEG4,?
1a25,A,P68403,2.7.11.13
1a25,B,P68403,2.7.11.13
1a26,A,P26446,2.4.2.-
1a26,A,P26446,2.4.2.30
1a27,A,P14061,1.1.1.51
1a27,A,P14061,1.1.1.62
1a28,A,P06401,?
1a28,B,P06401,?
1a29,A,P62157,?
1a2a,A,P14421,3.1.1.4
1a2a,B,P14421,3.1.1.4
1a2a,C,P14421,3.1.1.4
1a2a,D,P14421,3.1.1.4
1a2a,E,P14421,3.1.1.4
1a2a,F,P14421,3.1.1.4
1a2a,G,P14421,3.1.1.4
1a2a,H,P14421,3.1.1.4
1a2b,A,P61586,3.6.5.2
1a2c,H,P00734,3.4.21.5
1a2c,I,P09945,?
1a2c,L,P00734,3.4.21.5
1a2d,A,P04117,?
1a2d,B,P04117,?
1a2f,A,P00431,1.11.1.5
1a2g,A,P00431,1.11.1.5
1a2i,A,P00131,?
1a2j,A,P0AEG4,?
1a2l,A,P0AEG4,?
1a2l,B,P0AEG4,?
1a2m,A,P0AEG4,?
1a2m,B,P0AEG4,?
1a2n,A,P0A749,2.5.1.7
1a2o,A,P04042,3.1.1.61
1a2o,A,P04042,3.5.1.44
1a2o,B,P04042,3.1.1.61
1a2o,B,P04042,3.5.1.44
1a2p,A,P00648,3.1.27.-
1a2p,B,P00648,3.1.27.-
1a2p,C,P00648,3.1.27.-
1a2q,A,P00782,3.4.21.62
1a2s,A,Q09099,?
1a2t,A,P00644,3.1.31.1
1a2u,A,P00644,3.1.31.1
1a2v,A,P12807,1.4.3.21
1a2v,B,P12807,1.4.3.21
1a2v,C,P12807,1.4.3.21
1a2v,D,P12807,1.4.3.21
1a2v,E,P12807,1.4.3.21
1a2v,F,P12807,1.4.3.21
1a2w,A,P61823,4.6.1.18
1a2w,B,P61823,4.6.1.18
1a2x,A,P02586,?
1a2x,B,P02643,?
1a2y,A,P01635,?
1a2y,B,P01820,?
1a2y,C,P00698,3.2.1.17
1a2z,A,O07883,3.4.19.3
1a2z,B,O07883,3.4.19.3
1a2z,C,O07883,3.4.19.3
1a2z,D,O07883,3.4.19.3
1a30,A,P04585,2.7.7.-
1a30,A,P04585,2.7.7.49
1a30,A,P04585,2.7.7.7
1a30,A,P04585,3.1.-.-
1a30,A,P04585,3.1.13.2
1a30,A,P04585,3.1.26.13
1a30,A,P04585,3.4.23.16
1a30,B,P04585,2.7.7.-
1a30,B,P04585,2.7.7.49
1a30,B,P04585,2.7.7.7
1a30,B,P04585,3.1.-.-
1a30,B,P04585,3.1.13.2
1a30,B,P04585,3.1.26.13
1a30,B,P04585,3.4.23.16
1a31,A,P11387,5.6.2.1
1a32,A,P05766,?
1a33,A,Q27450,5.2.1.8
1a34,A,P17574,?
1a35,A,P11387,5.6.2.1
1a36,A,P11387,5.6.2.1
1a37,A,P63103,?
1a37,B,P63103,?
1a38,A,P63103,?
1a38,B,P63103,?
1a39,A,P56680,3.2.1.4
1a3a,A,P00550,2.7.1.197
1a3a,B,P00550,2.7.1.197
1a3a,C,P00550,2.7.1.197
1a3a,D,P00550,2.7.1.197
1a3b,H,P00734,3.4.21.5
1a3b,I,P28504,?
1a3b,L,P00734,3.4.21.5
1a3c,A,P39765,2.4.2.9
1a3d,A,P15445,3.1.1.4
1a3e,H,P00734,3.4.21.5
1a3e,I,P28504,?
1a3e,L,P00734,3.4.21.5
1a3f,A,P15445,3.1.1.4
1a3f,B,P15445,3.1.1.4
1a3f,C,P15445,3.1.1.4
1a3g,A,P0AB80,2.6.1.42
1a3g,B,P0AB80,2.6.1.42
1a3g,C,P0AB80,2.6.1.42
1a3h,A,O85465,3.2.1.4
1a3k,A,P17931,?
1a3l,H,P01869,?
1a3l,L,P01837,?
1a3n,A,P69905,?
1a3n,B,P68871,?
1a3n,C,P69905,?
1a3n,D,P68871,?
1a3o,A,P69905,?
1a3o,B,P68871,?
1a3o,C,P69905,?
1a3o,D,P68871,?
1a3p,A,P01132,?
1a3q,A,Q00653,?
1a3q,B,Q00653,?
1a3r,H,Q505N9,?
1a3r,L,Q52L64,?
1a3r,P,P04936,2.7.7.48
1a3r,P,P04936,3.4.22.28
1a3r,P,P04936,3.4.22.29
1a3r,P,P04936,3.6.1.15
1a3s,A,P63279,2.3.2.-
1a3t,A,P00644,3.1.31.1
1a3u,A,P00644,3.1.31.1
1a3v,A,P00644,3.1.31.1
1a3w,A,P00549,2.7.1.40
1a3w,B,P00549,2.7.1.40
1a3x,A,P00549,2.7.1.40
1a3x,B,P00549,2.7.1.40
1a3y,A,P81245,?
1a3y,B,P81245,?
1a3z,A,P0C918,?
1a40,A,P0AG82,?
1a41,A,P68698,5.6.2.1
1a42,A,P00918,4.2.1.1
1a42,A,P00918,4.2.1.69
1a43,A,P12497,2.7.7.-
1a43,A,P12497,2.7.7.49
1a43,A,P12497,2.7.7.7
1a43,A,P12497,3.1.-.-
1a43,A,P12497,3.1.13.2
1a43,A,P12497,3.1.26.13
1a43,A,P12497,3.4.23.16
1a44,A,P13696,?
1a45,A,P23005,?
1a46,H,P00734,3.4.21.5
1a46,I,P09945,?
1a46,L,P00734,3.4.21.5
1a47,A,P26827,2.4.1.19
1a48,A,P27616,6.3.2.6
1a49,A,P11974,2.7.1.40
1a49,A,P11974,2.7.10.2
1a49,A,P11974,2.7.11.1
1a49,B,P11974,2.7.1.40
1a49,B,P11974,2.7.10.2
1a49,B,P11974,2.7.11.1
1a49,C,P11974,2.7.1.40
1a49,C,P11974,2.7.10.2
1a49,C,P11974,2.7.11.1
1a49,D,P11974,2.7.1.40
1a49,D,P11974,2.7.10.2
1a49,D,P11974,2.7.11.1
1a49,E,P11974,2.7.1.40
1a49,E,P11974,2.7.10.2
1a49,E,P11974,2.7.11.1
1a49,F,P11974,2.7.1.40
1a49,F,P11974,2.7.10.2
1a49,F,P11974,2.7.11.1
1a49,G,P11974,2.7.1.40
1a49,G,P11974,2.7.10.2
1a49,G,P11974,2.7.11.1
1a49,H,P11974,2.7.1.40
1a49,H,P11974,2.7.10.2
1a49,H,P11974,2.7.11.1
1a4a,A,P00280,?
1a4a,B,P00280,?
1a4b,A,P00280,?
1a4b,B,P00280,?
1a4c,A,P00280,?
1a4c,B,P00280,?
1a4c,C,P00280,?
1a4c,D,P00280,?
1a4e,A,P15202,1.11.1.6
1a4e,B,P15202,1.11.1.6
1a4e,C,P15202,1.11.1.6
1a4e,D,P15202,1.11.1.6
1a4f,A,P01990,?
1a4f,B,P02118,?
1a4g,A,P27907,3.2.1.18
1a4g,B,P27907,3.2.1.18
1a4h,A,P02829,?
1a4i,A,P11586,1.5.1.5
1a4i,A,P11586,3.5.4.9
1a4i,A,P11586,6.3.4.3
1a4i,B,P11586,1.5.1.5
1a4i,B,P11586,3.5.4.9
1a4i,B,P11586,6.3.4.3
1a4j,A,P01834,?
1a4j,L,P01834,?
1a4k,A,P01834,?
1a4k,L,P01834,?
1a4l,A,P03958,3.5.4.4
1a4l,B,P03958,3.5.4.4
1a4l,C,P03958,3.5.4.4
1a4l,D,P03958,3.5.4.4
1a4m,A,P03958,3.5.4.4
1a4m,B,P03958,3.5.4.4
1a4m,C,P03958,3.5.4.4
1a4m,D,P03958,3.5.4.4
1a4o,A,P63103,?
1a4o,B,P63103,?
1a4o,C,P63103,?
1a4o,D,P63103,?
1a4p,A,P60903,?
1a4p,B,P60903,?
1a4q,A,P27907,3.2.1.18
1a4q,B,P27907,3.2.1.18
1a4r,A,P60953,3.6.5.2
1a4r,B,P60953,3.6.5.2
1a4s,A,P56533,1.2.1.3
1a4s,A,P56533,1.2.1.47
1a4s,B,P56533,1.2.1.3
1a4s,B,P56533,1.2.1.47
1a4s,C,P56533,1.2.1.3
1a4s,C,P56533,1.2.1.47
1a4s,D,P56533,1.2.1.3
1a4s,D,P56533,1.2.1.47
1a4t,B,P04891,?
